iter	Passed	Remaining
399	77784	311139
400	77941	310794
401	78114	310516
402	78276	310192
403	78439	309875
404	78590	309511
405	78743	309154
406	78914	308872
407	79091	308610
408	79255	308303
409	79431	308037
410	79595	307730
411	79770	307466
412	79937	307170
413	80113	306910
414	80255	306518
415	80437	306282
416	80618	306039
417	80788	305761
418	80963	305496
419	81124	305181
420	81323	305012
421	81503	304770
422	81640	304367
423	81825	304142
424	82055	304087
425	82265	303957
426	82501	303923
427	82746	303920
428	82925	303675
429	83109	303447
430	83347	303417
431	83559	303288
432	83788	303226
433	84042	303250
434	84256	303129
435	84514	303166
436	84726	303037
437	84931	302883
438	85130	302708
439	85340	302569
440	85548	302424
441	85697	302075
442	85886	301863
443	86100	301738
444	86266	301447
445	86403	301057
446	86554	300712
447	86692	300328
448	86836	299961
449	86978	299591
450	87135	299275
451	87272	298888
452	87430	298576
453	87539	298096
454	87719	297859
455	87884	297573
456	88051	297292
457	88196	296939
458	88343	296595
459	88485	296234
460	88642	295922
461	88798	295611
462	88957	295306
463	89098	294947
464	89245	294604
465	89402	294299
466	89599	294124
467	89786	293915
468	89962	293673
469	90111	293342
470	90265	293027
471	90403	292662
472	90559	292355
473	90709	292031
474	90851	291679
475	90973	291267
476	91112	290909
477	91245	290535
478	91390	290199
479	91579	290000
480	91750	289749
481	91891	289399
482	92048	289105
483	92198	288785
484	92345	288459
485	92494	288140
486	92677	287927
487	92831	287625
488	92973	287287
489	93130	286995
490	93264	286631
491	93426	286355
492	93652	286277
493	93874	286184
494	94078	286036
495	94289	285909
496	94455	285646
497	94627	285401
498	94789	285128
499	94955	284865
500	95116	284589
501	95273	284301
502	95414	283968
503	95596	283753
504	95726	283388
505	95872	283069
506	96020	282757
507	96162	282430
508	96312	282124
509	96463	281825
510	96575	281410
511	96745	281166
512	96944	281005
513	97135	280822
514	97253	280431
515	97442	280241
516	97593	279945
517	97768	279714
518	97957	279528
519	98152	279355
520	98414	279376
521	98625	279250
522	98830	279105
523	99011	278894
524	99139	278534
525	99297	278258
526	99500	278109
527	99697	277943
528	99859	277681
529	100011	277389
530	100162	277097
531	100329	276849
532	100500	276611
533	100652	276321
534	100801	276026
535	100946	275719
536	101096	275425
537	101229	275087
538	101379	274796
539	101578	274639
540	101786	274502
541	101958	274272
542	102157	274112
543	102287	273769
544	102538	273750
545	102783	273711
546	103007	273620
547	103244	273560
548	103435	273380
549	103649	273257
550	103812	273002
551	103997	272805
552	104214	272691
553	104441	272604
554	104666	272508
555	104849	272306
556	105092	272258
557	105320	272171
558	105560	272116
559	105811	272087
560	105997	271889
561	106149	271605
562	106332	271402
563	106682	271623
564	106862	271412
565	107055	271232
566	107316	271225
567	107702	271532
568	107971	271540
569	108326	271767
570	108697	272030
571	108970	272045
572	109267	272118
573	109572	272212
574	109800	272114
575	110098	272186
576	110379	272218
577	110584	272060
578	110772	271860
579	110987	271726
580	111181	271543
581	111392	271399
582	111534	271087
583	111693	270818
584	111847	270536
585	112021	270304
586	112201	270085
587	112360	269816
588	112531	269578
589	112697	269328
590	112832	269003
591	112977	268702
592	113134	268432
593	113292	268162
594	113430	267849
595	113573	267545
596	113723	267260
597	113834	266883
598	114197	267097
599	114413	266965
600	114642	266863
601	114852	266716
602	115041	266521
603	115256	266386
604	115375	266031
605	115542	265784
606	115697	265513
607	115856	265251
608	116020	264999
609	116197	264778
610	116366	264539
611	116522	264270
612	116671	263986
613	116820	263701
614	117065	263636
615	117292	263526
616	117498	263372
617	117622	263033
618	117788	262787
619	118020	262691
620	118134	262331
621	118310	262108
622	118450	261807
623	118595	261518
624	118732	261212
625	118871	260909
626	119023	260636
627	119185	260387
628	119311	260057
629	119496	259857
630	119642	259573
631	119751	259208
632	119905	258942
633	120092	258747
634	120258	258509
635	120405	258228
636	120548	257938
637	120707	257686
638	120927	257561
639	121129	257399
640	121322	257219
641	121495	256994
642	121642	256716
643	121783	256427
644	121915	256116
645	122062	255839
646	122213	255572
647	122312	255194
648	122488	254979
649	122656	254748
650	122801	254468
651	122966	254231
652	123138	254009
653	123229	253618
654	123384	253362
655	123534	253095
656	123630	252717
657	123781	252453
658	123885	252093
659	124081	251923
660	124287	251772
661	124477	251587
662	124623	251314
663	124744	250992
664	124901	250741
665	125034	250444
666	125248	250308
667	125409	250068
668	125611	249908
669	125800	249722
670	125987	249534
671	126193	249382
672	126394	249220
673	126531	248933
674	126676	248661
675	126819	248385
676	126983	248151
677	127194	248010
678	127385	247829
679	127517	247534
680	127673	247286
681	127822	247023
682	127982	246783
683	128174	246605
684	128377	246447
685	128560	246250
686	128753	246074
687	128933	245873
688	129073	245594
689	129186	245267
690	129350	245036
691	129546	244866
692	129752	244714
693	129863	244383
694	130064	244220
695	130250	244031
696	130443	243856
697	130621	243652
698	130767	243388
699	130915	243128
700	131067	242876
701	131231	242646
702	131401	242430
703	131537	242149
704	131708	241933
705	131864	241689
706	132023	241451
707	132173	241197
708	132253	240817
709	132439	240628
710	132627	240445
711	132839	240305
712	133030	240127
713	133137	239796
714	133346	239651
715	133514	239431
716	133664	239179
717	133823	238944
718	133964	238677
719	134104	238408
720	134246	238144
721	134388	237878
722	134527	237609
723	134579	237187
724	134723	236927
725	134868	236670
726	134986	236365
727	135174	236184
728	135341	235965
729	135510	235750
730	135645	235476
731	135775	235195
732	135904	234912
733	136049	234657
734	136192	234398
735	136330	234133
736	136490	233904
737	136631	233642
738	136742	233332
739	136941	233171
740	137088	232920
741	137256	232707
742	137406	232462
743	137548	232205
744	137631	231849
745	137764	231577
746	137948	231391
747	138104	231158
748	138240	230892
749	138385	230643
750	138530	230391
751	138670	230134
752	138808	229873
753	138961	229635
754	139105	229386
755	139300	229218
756	139500	229060
757	139704	228908
758	139963	228847
759	140184	228722
760	140332	228478
761	140477	228229
762	140561	227882
763	140698	227621
764	140840	227369
765	140987	227126
766	141138	226888
767	141278	226634
768	141480	226479
769	141633	226245
770	141778	225999
771	141920	225749
772	142139	225620
773	142337	225459
774	142497	225238
775	142624	224964
776	142772	224725
777	142903	224457
778	143039	224199
779	143186	223958
780	143349	223743
781	143500	223507
782	143650	223273
783	143777	223002
784	143922	222759
785	144090	222552
786	144250	222332
787	144447	222170
788	144602	221943
789	144763	221725
790	144873	221431
791	144958	221098
792	145103	220857
793	145293	220684
794	145441	220449
795	145620	220259
796	145775	220035
797	145910	219780
798	146061	219548
799	146196	219294
800	146344	219059
801	146479	218806
802	146581	218502
803	146723	218260
804	146876	218033
805	147032	217812
806	147183	217583
807	147353	217382
808	147517	217173
809	147713	217011
810	147890	216821
811	148064	216626
812	148245	216442
813	148392	216208
814	148503	215922
815	148642	215677
816	148787	215441
817	148924	215193
